detector+descriptor,frmae_index,camera_ttc,lidar_ttc,diff_ttc,diff_ttc_aver
AKAZE+BRISK,7,11.9813,16.1855,-4.2042,
AKAZE+BRISK,8,13.1207,13.9909,-0.8702,
AKAZE+BRISK,9,13.0207,13.901,-0.8803,
AKAZE+BRISK,10,11.3424,11.9645,-0.6221,
AKAZE+BRISK,11,12.5881,12.5054,0.0827,
AKAZE+BRISK,12,8.84817,10.3737,-1.52553,
AKAZE+BRISK,13,9.96028,10.1489,-0.18862,
AKAZE+BRISK,14,9.34284,10.0385,-0.69566,
AKAZE+BRISK,15,8.36357,10.1702,-1.80663,
AKAZE+BRISK,16,10.2781,10.3834,-0.1053,
AKAZE+BRISK,17,9.61104,9.63699,-0.02595,
AKAZE+BRISK,18,8.39758,8.95287,-0.55529,
AKAZE+BRIEF,0,,,0,
AKAZE+BRIEF,1,12.3201,13.2804,-0.9603,-0.645071667
AKAZE+BRIEF,2,12.2199,15.381,-3.1611,
AKAZE+BRIEF,3,14.7467,13.6728,1.0739,
AKAZE+BRIEF,4,16.5095,13.9793,2.5302,
AKAZE+BRIEF,5,15.5839,15.1106,0.4733,
AKAZE+BRIEF,6,12.8867,13.91,-1.0233,
AKAZE+BRIEF,7,11.9813,15.9355,-3.9542,
AKAZE+BRIEF,8,13.1207,14.4514,-1.3307,
AKAZE+BRIEF,9,13.0207,13.5101,-0.4894,
AKAZE+BRIEF,10,11.3424,11.6681,-0.3257,
AKAZE+BRIEF,11,12.5881,12.3559,0.2322,
AKAZE+BRIEF,12,8.84817,11.6794,-2.83123,
AKAZE+BRIEF,13,9.96028,10.1193,-0.15902,
AKAZE+BRIEF,14,9.34284,9.85941,-0.51657,
AKAZE+BRIEF,15,8.36357,9.48744,-1.12387,
AKAZE+BRIEF,16,10.2781,9.69983,0.57827,
AKAZE+BRIEF,17,9.61104,9.50336,0.10768,
AKAZE+BRIEF,18,8.39758,9.12903,-0.73145,
AKAZE+ORB,0,,,0,
AKAZE+ORB,1,12.3201,12.4495,-0.1294,-0.591942222
AKAZE+ORB,2,12.2199,14.559,-2.3391,
AKAZE+ORB,3,14.7467,13.3159,1.4308,
AKAZE+ORB,4,16.5095,14.3789,2.1306,
AKAZE+ORB,5,15.5839,15.578,0.0059,
AKAZE+ORB,6,12.8867,13.7785,-0.8918,
AKAZE+ORB,7,11.9813,15.6235,-3.6422,
AKAZE+ORB,8,13.1207,14.1891,-1.0684,
AKAZE+ORB,9,13.0207,13.4444,-0.4237,
AKAZE+ORB,10,11.3424,11.7537,-0.4113,
AKAZE+ORB,11,12.5881,12.4121,0.176,
AKAZE+ORB,12,8.84817,11.5441,-2.69593,
AKAZE+ORB,13,9.96028,9.98404,-0.02376,
AKAZE+ORB,14,9.34284,10.417,-1.07416,
AKAZE+ORB,15,8.36357,10.5321,-2.16853,
AKAZE+ORB,16,10.2781,9.69853,0.57957,
AKAZE+ORB,17,9.61104,8.97547,0.63557,
AKAZE+ORB,18,8.39758,9.1427,-0.74512,
AKAZE+FREAK,0,,,0,
AKAZE+FREAK,1,12.3201,12.1239,0.1962,-0.575508889
AKAZE+FREAK,2,12.2199,14.0613,-1.8414,
AKAZE+FREAK,3,14.7467,13.959,0.7877,
AKAZE+FREAK,4,16.5095,14.2454,2.2641,
AKAZE+FREAK,5,15.5839,16.1433,-0.5594,
AKAZE+FREAK,6,12.8867,14.5198,-1.6331,
AKAZE+FREAK,7,11.9813,15.4456,-3.4643,
AKAZE+FREAK,8,13.1207,13.6867,-0.566,
AKAZE+FREAK,9,13.0207,13.1062,-0.0855,
AKAZE+FREAK,10,11.3424,12.0412,-0.6988,
AKAZE+FREAK,11,12.5881,12.2112,0.3769,
AKAZE+FREAK,12,8.84817,10.9924,-2.14423,
AKAZE+FREAK,13,9.96028,10.9714,-1.01112,
AKAZE+FREAK,14,9.34284,10,-0.65716,
AKAZE+FREAK,15,8.36357,9.86979,-1.50622,
AKAZE+FREAK,16,10.2781,10.3531,-0.075,
AKAZE+FREAK,17,9.61104,9.10004,0.511,
AKAZE+FREAK,18,8.39758,8.65041,-0.25283,
AKAZE+AKAZE,0,,,0,
AKAZE+AKAZE,1,12.3201,12.3444,-0.0243,-0.626631111
AKAZE+AKAZE,2,12.2199,14.0983,-1.8784,
AKAZE+AKAZE,3,14.7467,12.8828,1.8639,
AKAZE+AKAZE,4,16.5095,14.4781,2.0314,
AKAZE+AKAZE,5,15.5839,16.7468,-1.1629,
AKAZE+AKAZE,6,12.8867,13.8675,-0.9808,
AKAZE+AKAZE,7,11.9813,15.3467,-3.3654,
AKAZE+AKAZE,8,13.1207,14.1379,-1.0172,
AKAZE+AKAZE,9,13.0207,13.8398,-0.8191,
AKAZE+AKAZE,10,11.3424,11.5483,-0.2059,
AKAZE+AKAZE,11,12.5881,12.1341,0.454,
AKAZE+AKAZE,12,8.84817,11.0555,-2.20733,
AKAZE+AKAZE,13,9.96028,11.2852,-1.32492,
AKAZE+AKAZE,14,9.34284,10.5845,-1.24166,
AKAZE+AKAZE,15,8.36357,10.1989,-1.83533,
AKAZE+AKAZE,16,10.2781,9.8136,0.4645,
AKAZE+AKAZE,17,9.61104,9.06452,0.54652,
AKAZE+AKAZE,18,8.39758,8.97402,-0.57644,
AKAZE+SIFT,0,,,0,
AKAZE+SIFT,1,12.3201,12.4399,-0.1198,-0.721965
AKAZE+SIFT,2,12.2199,14.646,-2.4261,
AKAZE+SIFT,3,14.7467,13.4142,1.3325,
AKAZE+SIFT,4,16.5095,14.107,2.4025,
AKAZE+SIFT,5,15.5839,16.5981,-1.0142,
AKAZE+SIFT,6,12.8867,14.1374,-1.2507,
AKAZE+SIFT,7,11.9813,15.4462,-3.4649,
AKAZE+SIFT,8,13.1207,13.8272,-0.7065,
AKAZE+SIFT,9,13.0207,14.1208,-1.1001,
AKAZE+SIFT,10,11.3424,11.9311,-0.5887,
AKAZE+SIFT,11,12.5881,12.3099,0.2782,
AKAZE+SIFT,12,8.84817,11.4123,-2.56413,
AKAZE+SIFT,13,9.96028,10.834,-0.87372,
AKAZE+SIFT,14,9.34284,10.5383,-1.19546,
AKAZE+SIFT,15,8.36357,10.1374,-1.77383,
AKAZE+SIFT,16,10.2781,10.1166,0.1615,
AKAZE+SIFT,17,9.61104,9.09447,0.51657,
AKAZE+SIFT,18,8.39758,9.00608,-0.6085,
SIFT+BRISK,0,,,0,
SIFT+BRISK,1,12.3201,11.6775,0.6426,-0.434173889
SIFT+BRISK,2,12.2199,13.3443,-1.1244,
SIFT+BRISK,3,14.7467,14.4891,0.2576,
SIFT+BRISK,4,16.5095,18.9432,-2.4337,
SIFT+BRISK,5,15.5839,14.9067,0.6772,
SIFT+BRISK,6,12.8867,11.5509,1.3358,
SIFT+BRISK,7,11.9813,14.3801,-2.3988,
SIFT+BRISK,8,13.1207,15.5638,-2.4431,
SIFT+BRISK,9,13.0207,13.0591,-0.0384,
SIFT+BRISK,10,11.3424,10.8593,0.4831,
SIFT+BRISK,11,12.5881,13.2349,-0.6468,
SIFT+BRISK,12,8.84817,10.2972,-1.44903,
SIFT+BRISK,13,9.96028,9.98874,-0.02846,
SIFT+BRISK,14,9.34284,9.55221,-0.20937,
SIFT+BRISK,15,8.36357,9.4644,-1.10083,
SIFT+BRISK,16,10.2781,8.77179,1.50631,
SIFT+BRISK,17,9.61104,9.52697,0.08407,
SIFT+BRISK,18,8.39758,9.3265,-0.92892,
SIFT+BRIEF,0,,,0,
SIFT+BRIEF,1,12.3201,12.0887,0.2314,-0.590638333
SIFT+BRIEF,2,12.2199,14.2391,-2.0192,
SIFT+BRIEF,3,14.7467,15.08,-0.3333,
SIFT+BRIEF,4,16.5095,21.4358,-4.9263,
SIFT+BRIEF,5,15.5839,13.6004,1.9835,
SIFT+BRIEF,6,12.8867,12.5584,0.3283,
SIFT+BRIEF,7,11.9813,14.5792,-2.5979,
SIFT+BRIEF,8,13.1207,15.2578,-2.1371,
SIFT+BRIEF,9,13.0207,13.0446,-0.0239,
SIFT+BRIEF,10,11.3424,10.3097,1.0327,
SIFT+BRIEF,11,12.5881,13.0488,-0.4607,
SIFT+BRIEF,12,8.84817,9.87054,-1.02237,
SIFT+BRIEF,13,9.96028,10.1282,-0.16792,
SIFT+BRIEF,14,9.34284,9.26825,0.07459,
SIFT+BRIEF,15,8.36357,9.99612,-1.63255,
SIFT+BRIEF,16,10.2781,9.06875,1.20935,
SIFT+BRIEF,17,9.61104,8.94616,0.66488,
SIFT+BRIEF,18,8.39758,9.23255,-0.83497,
SIFT+FREAK,0,,,0,
SIFT+FREAK,1,12.3201,11.3143,1.0058,-0.598205
SIFT+FREAK,2,12.2199,13.8353,-1.6154,
SIFT+FREAK,3,14.7467,13.6135,1.1332,
SIFT+FREAK,4,16.5095,21.1723,-4.6628,
SIFT+FREAK,5,15.5839,13.5634,2.0205,
SIFT+FREAK,6,12.8867,12.2423,0.6444,
SIFT+FREAK,7,11.9813,14.8139,-2.8326,
SIFT+FREAK,8,13.1207,15.2346,-2.1139,
SIFT+FREAK,9,13.0207,14.3892,-1.3685,
SIFT+FREAK,10,11.3424,11.5716,-0.2292,
SIFT+FREAK,11,12.5881,12.0832,0.5049,
SIFT+FREAK,12,8.84817,10.0932,-1.24503,
SIFT+FREAK,13,9.96028,10.2522,-0.29192,
SIFT+FREAK,14,9.34284,9.89631,-0.55347,
SIFT+FREAK,15,8.36357,9.19662,-0.83305,
SIFT+FREAK,16,10.2781,9.50403,0.77407,
SIFT+FREAK,17,9.61104,9.18097,0.43007,
SIFT+FREAK,18,8.39758,9.93234,-1.53476,
SIFT+SIFT,0,,,0,
SIFT+SIFT,1,12.3201,11.9946,0.3255,-0.812645
SIFT+SIFT,2,12.2199,13.3384,-1.1185,
SIFT+SIFT,3,14.7467,13.2694,1.4773,
SIFT+SIFT,4,16.5095,19.6816,-3.1721,
SIFT+SIFT,5,15.5839,15.27,0.3139,
SIFT+SIFT,6,12.8867,11.1336,1.7531,
SIFT+SIFT,7,11.9813,13.9724,-1.9911,
SIFT+SIFT,8,13.1207,16.1755,-3.0548,
SIFT+SIFT,9,13.0207,18.4557,-5.435,
SIFT+SIFT,10,11.3424,10.6528,0.6896,
SIFT+SIFT,11,12.5881,11.8093,0.7788,
SIFT+SIFT,12,8.84817,11.6481,-2.79993,
SIFT+SIFT,13,9.96028,9.40235,0.55793,
SIFT+SIFT,14,9.34284,10.8447,-1.50186,
SIFT+SIFT,15,8.36357,10.4391,-2.07553,
SIFT+SIFT,16,10.2781,9.64474,0.63336,
SIFT+SIFT,17,9.61104,9.09319,0.51785,
SIFT+SIFT,18,8.39758,8.92371,-0.52613,
